team_id,team_name
1,GUJARAT TITANS
2,DELHI DAREDEVILS
3,RISING PUNE SUPERGIANTS
4,KOCHI TUSKERS KERALA
5,MUMBAI INDIANS
6,CHENNAI SUPER KINGS
7,PUNE WARRIORS
8,ROYAL CHALLENGERS BENGALURU
9,KOLKATA KNIGHT RIDERS
10,DELHI CAPITALS
11,RAJASTHAN ROYALS
12,PUNJAB KINGS
13,KINGS XI PUNJAB
14,GUJARAT LIONS
15,SUNRISERS HYDERABAD
16,DECCAN CHARGERS
17,ROYAL CHALLENGERS BANGALORE
18,LUCKNOW SUPER GIANTS
