player_id,season_id,matches,innings,runs,balls,average,strike_rate,fours,sixes,fifties,hundreds,dot_ball_pct,boundary_pct,highest_score
715,4,9,9,135.0,138.0,15.0,97.83,9,3,0,0,37.68,8.7,44.0
764,15,1,1,4.0,8.0,4.0,50.0,1,0,0,0,87.5,12.5,4.0
442,3,2,2,4.0,7.0,2.0,57.14,0,0,0,0,42.86,0.0,4.0
639,9,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
639,10,1,1,5.0,7.0,5.0,71.43,1,0,0,0,71.43,14.29,5.0
639,16,3,3,10.0,16.0,3.33,62.5,0,0,0,0,37.5,0.0,7.0
319,2,6,6,67.0,81.0,11.17,82.72,5,0,0,0,41.98,6.17,22.0
319,3,1,1,2.0,4.0,2.0,50.0,0,0,0,0,50.0,0.0,2.0
656,4,1,1,1.0,3.0,1.0,33.33,0,0,0,0,66.67,0.0,1.0
656,5,2,2,11.0,8.0,5.5,137.5,2,0,0,0,37.5,25.0,7.0
358,3,10,10,183.0,166.0,18.3,110.24,16,4,1,0,37.35,12.05,53.0
358,4,2,2,10.0,18.0,5.0,55.56,2,0,0,0,66.67,11.11,10.0
358,5,3,3,24.0,26.0,8.0,92.31,1,1,0,0,46.15,7.69,19.0
207,17,2,2,9.0,8.0,4.5,112.5,2,0,0,0,62.5,25.0,9.0
634,1,1,1,9.0,10.0,9.0,90.0,1,0,0,0,40.0,10.0,9.0
93,1,6,6,54.0,46.0,9.0,117.39,5,2,0,0,41.3,15.22,20.0
93,2,5,5,66.0,57.0,13.2,115.79,3,3,0,0,31.58,10.53,39.0
93,3,4,4,40.0,29.0,10.0,137.93,4,0,0,0,20.69,13.79,17.0
93,4,1,1,7.0,6.0,7.0,116.67,1,0,0,0,16.67,16.67,7.0
93,6,2,2,12.0,16.0,6.0,75.0,0,0,0,0,31.25,0.0,9.0
189,3,3,3,42.0,42.0,14.0,100.0,5,1,0,0,47.62,14.29,33.0
476,1,6,6,95.0,98.0,15.83,96.94,5,1,0,0,37.76,6.12,26.0
476,2,13,13,465.0,355.0,35.77,130.99,39,12,3,1,30.14,14.37,105.0
476,3,7,7,111.0,119.0,15.86,93.28,7,0,0,0,34.45,5.88,45.0
