player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
152,1,Death Over,4,4,19.0,16,4.75,118.75,12.0,0,1,2,31.25,6.25
152,1,Middle Over,1,1,2.0,2,2.0,100.0,2.0,0,0,0,50.0,0.0
155,1,Death Over,4,4,32.0,20,8.0,160.0,12.0,5,0,1,10.0,25.0
155,1,Middle Over,3,3,58.0,55,19.33,105.45,31.0,8,0,1,38.18,14.55
155,1,Powerplay Over,3,3,14.0,12,4.67,116.67,9.0,3,0,1,50.0,25.0
156,1,Death Over,2,2,2.0,5,1.0,40.0,2.0,0,0,2,60.0,0.0
170,1,Death Over,5,5,45.0,29,9.0,155.17,29.0,4,2,3,27.59,20.69
170,1,Middle Over,6,6,100.0,79,16.67,126.58,27.0,9,2,4,29.11,13.92
174,1,Death Over,5,5,35.0,24,7.0,145.83,15.0,2,3,1,33.33,20.83
174,1,Middle Over,1,1,0.0,1,0.0,0.0,0.0,0,0,0,100.0,0.0
181,1,Death Over,8,8,97.0,48,12.12,202.08,35.0,9,5,3,16.67,29.17
181,1,Middle Over,4,4,61.0,53,15.25,115.09,42.0,7,2,2,39.62,16.98
181,1,Powerplay Over,4,4,34.0,37,8.5,91.89,19.0,5,1,1,54.05,16.22
193,1,Death Over,5,5,24.0,27,4.8,88.89,16.0,3,0,2,44.44,11.11
193,1,Middle Over,3,3,10.0,10,3.33,100.0,7.0,0,1,1,50.0,10.0
193,1,Powerplay Over,1,1,0.0,2,0.0,0.0,0.0,0,0,1,100.0,0.0
203,1,Death Over,2,2,62.0,21,31.0,295.24,42.0,2,7,1,9.52,42.86
203,1,Middle Over,9,9,159.0,177,17.67,89.83,39.0,12,7,7,46.33,10.73
203,1,Powerplay Over,12,12,128.0,126,10.67,101.59,32.0,19,1,6,46.03,15.87
208,1,Death Over,2,2,14.0,13,7.0,107.69,13.0,1,0,1,15.38,7.69
208,1,Middle Over,1,1,12.0,15,12.0,80.0,12.0,1,0,0,46.67,6.67
209,1,Death Over,7,7,141.0,78,20.14,180.77,39.0,13,9,5,21.79,28.21
209,1,Middle Over,8,8,112.0,96,14.0,116.67,47.0,5,6,2,32.29,11.46
209,1,Powerplay Over,4,4,35.0,43,8.75,81.4,14.0,4,0,1,58.14,9.3
210,1,Death Over,2,2,0.0,3,0.0,0.0,0.0,0,0,1,66.67,0.0
212,1,Death Over,8,8,98.0,71,12.25,138.03,30.0,7,6,4,29.58,18.31
212,1,Middle Over,5,5,26.0,45,5.2,57.78,10.0,2,0,0,53.33,4.44
212,1,Powerplay Over,2,2,7.0,4,3.5,175.0,6.0,0,0,1,25.0,0.0
222,1,Death Over,4,4,39.0,19,9.75,205.26,24.0,1,5,3,31.58,31.58
223,1,Death Over,8,8,106.0,80,13.25,132.5,27.0,7,5,6,30.0,15.0
223,1,Middle Over,7,7,135.0,88,19.29,153.41,44.0,11,9,2,36.36,22.73
230,1,Death Over,4,4,47.0,34,11.75,138.24,22.0,4,1,1,23.53,14.71
230,1,Middle Over,12,12,281.0,199,23.42,141.21,50.0,17,15,7,23.12,16.08
230,1,Powerplay Over,9,9,93.0,71,10.33,130.99,35.0,14,2,1,42.25,22.54
232,1,Death Over,1,1,59.0,21,59.0,280.95,59.0,2,6,0,14.29,38.1
232,1,Middle Over,1,1,58.0,34,58.0,170.59,58.0,3,4,0,20.59,20.59
232,1,Powerplay Over,4,4,71.0,41,17.75,173.17,41.0,8,5,3,36.59,31.71
234,1,Death Over,2,2,6.0,11,3.0,54.55,3.0,0,0,2,54.55,0.0
234,1,Middle Over,3,3,31.0,31,10.33,100.0,28.0,3,0,2,32.26,9.68
238,1,Death Over,3,3,18.0,15,6.0,120.0,7.0,2,1,2,33.33,20.0
238,1,Middle Over,2,2,6.0,7,3.0,85.71,3.0,0,0,0,28.57,0.0
239,1,Death Over,1,1,1.0,2,1.0,50.0,1.0,0,0,1,50.0,0.0
239,1,Middle Over,2,2,18.0,17,9.0,105.88,17.0,2,0,1,29.41,11.76
239,1,Powerplay Over,4,4,23.0,36,5.75,63.89,13.0,3,0,2,58.33,8.33
241,1,Death Over,1,1,6.0,2,6.0,300.0,6.0,0,1,1,50.0,50.0
241,1,Middle Over,1,1,3.0,6,3.0,50.0,3.0,0,0,0,50.0,0.0
246,1,Death Over,4,4,27.0,23,6.75,117.39,14.0,2,1,2,26.09,13.04
246,1,Middle Over,6,6,77.0,88,12.83,87.5,24.0,7,1,4,42.05,9.09
246,1,Powerplay Over,3,3,8.0,13,2.67,61.54,4.0,0,0,0,30.77,0.0
251,1,Death Over,6,6,78.0,46,13.0,169.57,24.0,9,3,3,32.61,26.09
251,1,Middle Over,1,1,12.0,15,12.0,80.0,12.0,1,0,1,53.33,6.67
252,1,Powerplay Over,3,3,25.0,33,8.33,75.76,16.0,4,0,3,54.55,12.12
254,1,Death Over,1,1,28.0,17,28.0,164.71,28.0,4,1,0,29.41,29.41
254,1,Middle Over,1,1,0.0,4,0.0,0.0,0.0,0,0,0,100.0,0.0
259,1,Death Over,1,1,2.0,17,2.0,11.76,2.0,0,0,0,82.35,0.0
273,1,Death Over,2,2,4.0,5,2.0,80.0,4.0,1,0,1,80.0,20.0
275,1,Powerplay Over,3,3,23.0,24,7.67,95.83,22.0,5,0,3,58.33,20.83
278,1,Middle Over,4,4,76.0,58,19.0,131.03,28.0,10,1,3,29.31,18.97
278,1,Powerplay Over,10,10,120.0,113,12.0,106.19,25.0,17,2,6,50.44,16.81
286,1,Death Over,4,4,32.0,23,8.0,139.13,17.0,1,3,3,34.78,17.39
286,1,Middle Over,5,5,15.0,26,3.0,57.69,7.0,0,0,2,46.15,0.0
289,1,Death Over,1,1,0.0,2,0.0,0.0,0.0,0,0,1,50.0,0.0
289,1,Middle Over,2,2,6.0,14,3.0,42.86,3.0,0,0,1,50.0,0.0
290,1,Death Over,2,2,15.0,21,7.5,71.43,8.0,0,0,2,23.81,0.0
290,1,Middle Over,2,2,1.0,3,0.5,33.33,1.0,0,0,1,66.67,0.0
291,1,Middle Over,2,2,35.0,33,17.5,106.06,30.0,2,2,2,33.33,12.12
291,1,Powerplay Over,3,3,4.0,21,1.33,19.05,3.0,0,0,1,71.43,0.0
293,1,Death Over,2,2,30.0,16,15.0,187.5,28.0,1,3,1,31.25,25.0
293,1,Middle Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
294,1,Death Over,1,1,16.0,9,16.0,177.78,16.0,1,1,1,11.11,22.22
294,1,Middle Over,2,2,0.0,2,0.0,0.0,0.0,0,0,1,100.0,0.0
302,1,Death Over,7,7,54.0,41,7.71,131.71,33.0,6,2,5,29.27,19.51
302,1,Middle Over,12,12,212.0,198,17.67,107.07,34.0,20,6,4,36.87,13.13
302,1,Powerplay Over,6,6,54.0,52,9.0,103.85,22.0,8,1,3,48.08,17.31
306,1,Middle Over,2,2,34.0,38,17.0,89.47,20.0,2,1,1,36.84,7.89
306,1,Powerplay Over,4,4,5.0,15,1.25,33.33,5.0,0,0,2,66.67,0.0
