player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
662,2,Middle Over,1,1,18.0,8,18.0,225.0,18.0,1,2,1,50.0,37.5
662,2,Powerplay Over,1,1,6.0,8,6.0,75.0,6.0,0,0,1,37.5,0.0
664,2,Death Over,2,2,25.0,18,12.5,138.89,22.0,2,1,1,22.22,16.67
664,2,Middle Over,2,2,23.0,24,11.5,95.83,13.0,2,0,1,25.0,8.33
664,2,Powerplay Over,1,1,14.0,15,14.0,93.33,14.0,1,1,0,46.67,13.33
669,2,Death Over,2,2,9.0,14,4.5,64.29,6.0,0,0,0,28.57,0.0
674,2,Death Over,3,3,8.0,9,2.67,88.89,8.0,0,1,3,55.56,11.11
674,2,Middle Over,1,1,9.0,7,9.0,128.57,9.0,1,0,0,42.86,14.29
682,2,Death Over,2,2,27.0,15,13.5,180.0,27.0,2,1,1,13.33,20.0
682,2,Middle Over,3,3,11.0,25,3.67,44.0,6.0,0,0,1,68.0,0.0
686,2,Death Over,3,3,17.0,11,5.67,154.55,12.0,2,0,2,18.18,18.18
686,2,Middle Over,1,1,17.0,21,17.0,80.95,17.0,1,0,0,28.57,4.76
691,2,Death Over,3,3,13.0,12,4.33,108.33,6.0,0,0,1,25.0,0.0
695,2,Death Over,2,2,21.0,20,10.5,105.0,11.0,0,0,0,10.0,0.0
699,2,Death Over,7,7,60.0,60,8.57,100.0,21.0,3,2,4,35.0,8.33
699,2,Middle Over,5,5,48.0,58,9.6,82.76,21.0,3,2,3,48.28,8.62
703,2,Death Over,2,2,1.0,3,0.5,33.33,1.0,0,0,1,66.67,0.0
709,2,Death Over,1,1,6.0,9,6.0,66.67,6.0,1,0,1,55.56,11.11
713,2,Death Over,6,6,51.0,46,8.5,110.87,31.0,3,3,4,36.96,13.04
713,2,Middle Over,5,5,37.0,48,7.4,77.08,13.0,2,1,2,47.92,6.25
719,2,Death Over,7,7,81.0,66,11.57,122.73,33.0,7,2,6,27.27,13.64
719,2,Middle Over,12,12,207.0,198,17.25,104.55,34.0,13,4,6,31.31,8.59
719,2,Powerplay Over,3,3,7.0,12,2.33,58.33,4.0,1,0,0,75.0,8.33
729,2,Death Over,8,8,176.0,83,22.0,212.05,57.0,18,8,4,16.87,31.33
729,2,Middle Over,11,11,228.0,211,20.73,108.06,39.0,13,3,3,27.96,7.58
729,2,Powerplay Over,8,8,61.0,65,7.62,93.85,17.0,8,1,2,52.31,13.85
732,2,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
744,2,Death Over,5,5,57.0,38,11.4,150.0,34.0,3,3,2,21.05,15.79
744,2,Middle Over,2,2,9.0,20,4.5,45.0,5.0,0,0,0,50.0,0.0
757,2,Death Over,1,1,1.0,2,1.0,50.0,1.0,0,0,1,50.0,0.0
757,2,Middle Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
757,2,Powerplay Over,1,1,18.0,14,18.0,128.57,18.0,1,2,1,64.29,21.43
763,2,Death Over,2,2,0.0,4,0.0,0.0,0.0,0,0,2,100.0,0.0
763,2,Middle Over,1,1,1.0,2,1.0,50.0,1.0,0,0,0,50.0,0.0
765,2,Middle Over,1,1,2.0,9,2.0,22.22,2.0,0,0,1,55.56,0.0
770,2,Death Over,4,4,26.0,33,6.5,78.79,14.0,2,1,2,48.48,9.09
770,2,Middle Over,1,1,2.0,2,2.0,100.0,2.0,0,0,0,0.0,0.0
1,3,Death Over,2,2,5.0,8,2.5,62.5,3.0,0,0,1,62.5,0.0
3,3,Middle Over,6,6,58.0,46,9.67,126.09,31.0,4,3,5,34.78,15.22
3,3,Powerplay Over,9,9,108.0,103,12.0,104.85,21.0,14,3,5,49.51,16.5
7,3,Middle Over,5,5,53.0,41,10.6,129.27,33.0,8,1,4,43.9,21.95
7,3,Powerplay Over,11,11,225.0,155,20.45,145.16,50.0,37,5,5,40.65,27.1
11,3,Death Over,5,5,64.0,55,12.8,116.36,27.0,5,0,1,21.82,9.09
11,3,Middle Over,8,8,82.0,88,10.25,93.18,20.0,7,0,3,31.82,7.95
11,3,Powerplay Over,1,1,11.0,8,11.0,137.5,11.0,2,0,0,37.5,25.0
15,3,Death Over,2,2,9.0,16,4.5,56.25,7.0,1,0,2,68.75,6.25
18,3,Middle Over,1,1,14.0,19,14.0,73.68,14.0,1,0,1,36.84,5.26
18,3,Powerplay Over,1,1,13.0,12,13.0,108.33,13.0,2,0,0,33.33,16.67
23,3,Death Over,5,5,93.0,50,18.6,186.0,44.0,8,6,4,24.0,28.0
23,3,Middle Over,13,13,169.0,168,13.0,100.6,25.0,17,0,7,30.95,10.12
23,3,Powerplay Over,4,4,16.0,24,4.0,66.67,11.0,1,0,1,45.83,4.17
33,3,Death Over,1,1,10.0,10,10.0,100.0,10.0,1,0,1,40.0,10.0
33,3,Middle Over,1,1,33.0,27,33.0,122.22,33.0,1,2,1,25.93,11.11
33,3,Powerplay Over,4,4,29.0,46,7.25,63.04,14.0,4,0,3,52.17,8.7
44,3,Death Over,2,2,12.0,11,6.0,109.09,9.0,0,0,2,9.09,0.0
49,3,Death Over,4,4,29.0,26,7.25,111.54,14.0,3,1,3,57.69,15.38
69,3,Death Over,1,1,5.0,7,5.0,71.43,5.0,0,0,1,42.86,0.0
69,3,Middle Over,1,1,5.0,2,5.0,250.0,5.0,1,0,0,0.0,50.0
73,3,Death Over,3,3,7.0,9,2.33,77.78,4.0,0,0,1,44.44,0.0
73,3,Middle Over,1,1,1.0,2,1.0,50.0,1.0,0,0,1,50.0,0.0
78,3,Death Over,2,2,2.0,6,1.0,33.33,2.0,0,0,2,50.0,0.0
79,3,Death Over,6,6,54.0,52,9.0,103.85,22.0,6,0,5,30.77,11.54
79,3,Middle Over,3,3,8.0,11,2.67,72.73,7.0,1,0,0,54.55,9.09
93,3,Death Over,2,2,4.0,8,2.0,50.0,3.0,0,0,1,50.0,0.0
93,3,Middle Over,1,1,8.0,5,8.0,160.0,8.0,0,1,0,40.0,20.0
98,3,Death Over,1,1,2.0,2,2.0,100.0,2.0,0,0,0,0.0,0.0
100,3,Death Over,2,2,64.0,23,32.0,278.26,50.0,4,6,1,17.39,43.48
100,3,Middle Over,9,9,153.0,107,17.0,142.99,49.0,9,9,6,29.91,16.82
100,3,Powerplay Over,12,12,241.0,175,20.08,137.71,44.0,23,11,5,37.71,19.43
103,3,Death Over,1,1,6.0,5,6.0,120.0,6.0,0,0,0,0.0,0.0
103,3,Middle Over,1,1,4.0,10,4.0,40.0,4.0,0,0,0,50.0,0.0
107,3,Powerplay Over,1,1,15.0,21,15.0,71.43,15.0,3,0,1,57.14,14.29
108,3,Death Over,2,2,33.0,21,16.5,157.14,29.0,3,1,2,23.81,19.05
108,3,Middle Over,1,1,1.0,2,1.0,50.0,1.0,0,0,0,50.0,0.0
110,3,Death Over,5,5,88.0,48,17.6,183.33,43.0,11,2,3,18.75,27.08
110,3,Middle Over,12,12,203.0,189,16.92,107.41,35.0,20,1,7,27.51,11.11
110,3,Powerplay Over,15,15,327.0,252,21.8,129.76,44.0,55,0,3,34.92,21.83
112,3,Death Over,9,9,151.0,78,16.78,193.59,40.0,12,7,5,12.82,24.36
112,3,Middle Over,9,9,84.0,75,9.33,112.0,21.0,3,3,3,22.67,8.0
112,3,Powerplay Over,2,2,41.0,35,20.5,117.14,30.0,6,0,0,37.14,17.14
124,3,Middle Over,5,5,116.0,69,23.2,168.12,45.0,9,7,5,21.74,23.19
124,3,Powerplay Over,14,14,240.0,158,17.14,151.9,43.0,38,7,9,37.97,28.48
131,3,Powerplay Over,6,6,64.0,62,10.67,103.23,22.0,7,1,4,38.71,12.9
132,3,Death Over,3,3,17.0,16,5.67,106.25,15.0,1,1,2,43.75,12.5
132,3,Middle Over,1,1,1.0,4,1.0,25.0,1.0,0,0,0,75.0,0.0
133,3,Death Over,1,1,4.0,9,4.0,44.44,4.0,0,0,1,44.44,0.0
133,3,Middle Over,1,1,20.0,13,20.0,153.85,20.0,1,1,1,38.46,15.38
133,3,Powerplay Over,1,1,2.0,3,2.0,66.67,2.0,0,0,0,33.33,0.0
134,3,Death Over,11,11,205.0,92,18.64,222.83,45.0,20,13,11,22.83,35.87
134,3,Middle Over,9,9,67.0,59,7.44,113.56,20.0,3,4,3,35.59,11.86
134,3,Powerplay Over,1,1,1.0,1,1.0,100.0,1.0,0,0,0,0.0,0.0
139,3,Death Over,11,11,138.0,105,12.55,131.43,26.0,17,2,7,23.81,18.1
139,3,Middle Over,11,11,194.0,168,17.64,115.48,37.0,20,3,4,30.36,13.69
139,3,Powerplay Over,5,5,24.0,37,4.8,64.86,10.0,4,0,1,64.86,10.81
153,3,Death Over,2,2,23.0,20,11.5,115.0,22.0,2,1,1,40.0,15.0
155,3,Death Over,3,3,3.0,6,1.0,50.0,2.0,0,0,2,33.33,0.0
155,3,Middle Over,1,1,28.0,18,28.0,155.56,28.0,2,2,1,33.33,22.22
171,3,Death Over,5,5,27.0,28,5.4,96.43,16.0,1,1,4,35.71,7.14
171,3,Middle Over,1,1,3.0,6,3.0,50.0,3.0,0,0,0,50.0,0.0
173,3,Death Over,1,1,1.0,2,1.0,50.0,1.0,0,0,1,50.0,0.0
174,3,Death Over,2,2,47.0,26,23.5,180.77,29.0,5,3,1,30.77,30.77
174,3,Middle Over,6,6,122.0,94,20.33,129.79,42.0,7,7,2,29.79,14.89
174,3,Powerplay Over,14,14,208.0,174,14.86,119.54,27.0,30,5,9,45.4,20.11
177,3,Death Over,1,1,8.0,5,8.0,160.0,8.0,1,0,1,20.0,20.0
180,3,Middle Over,6,6,109.0,79,18.17,137.97,54.0,7,7,5,30.38,17.72
