player_id,season_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded,best_bowling_figures
524,1,3,3,41,7,101.0,0.0,14.43,0.0,0.0,9,21.95,6,9,0/20
524,2,8,8,144,24,160.0,7.0,6.67,22.86,20.57,65,45.14,9,8,2/18
524,3,16,16,318,53,372.0,12.0,7.02,31.0,26.5,106,33.33,25,13,3/21
524,4,3,3,24,4,41.0,1.0,10.25,41.0,24.0,10,41.67,4,3,1/11
282,3,2,2,36,6,66.0,2.0,11.0,33.0,18.0,8,22.22,6,3,2/41
485,9,5,5,102,17,115.0,12.0,6.76,9.58,8.5,32,31.37,4,5,6/19
485,10,6,6,119,20,163.0,7.0,8.15,23.29,17.0,38,31.93,8,9,2/22
485,13,3,3,66,11,92.0,2.0,8.36,46.0,33.0,20,30.3,3,6,1/12
485,16,6,6,132,22,188.0,8.0,8.55,23.5,16.5,39,29.55,15,8,3/22
485,18,2,2,48,8,94.0,2.0,11.75,47.0,24.0,10,20.83,6,7,1/46
726,4,2,2,30,5,27.0,0.0,5.4,0.0,0.0,17,56.67,3,1,0/10
726,5,8,8,164,28,236.0,7.0,8.43,33.71,23.43,55,33.54,21,11,2/23
726,6,3,3,54,9,63.0,1.0,7.0,63.0,54.0,28,51.85,4,4,1/28
380,3,5,5,37,7,69.0,0.0,9.86,0.0,0.0,12,32.43,5,4,0/2
380,4,2,2,12,2,22.0,0.0,11.0,0.0,0.0,1,8.33,1,1,0/11
380,5,3,3,36,6,38.0,1.0,6.33,38.0,36.0,14,38.89,4,0,1/13
159,4,1,1,12,2,21.0,0.0,10.5,0.0,0.0,2,16.67,1,1,0/21
589,1,1,1,24,4,40.0,1.0,10.0,40.0,24.0,6,25.0,2,2,1/40
744,1,9,9,156,26,207.0,8.0,7.96,25.88,19.5,66,42.31,21,8,3/25
744,2,11,11,186,31,284.0,6.0,9.16,47.33,31.0,65,34.95,31,9,2/15
744,3,7,7,132,22,203.0,4.0,9.23,50.75,33.0,40,30.3,24,6,2/32
744,4,7,7,162,27,231.0,8.0,8.56,28.88,20.25,46,28.4,18,9,2/23
744,5,4,4,86,15,134.0,3.0,8.93,44.67,28.67,20,23.26,13,4,2/27
744,6,4,4,60,10,92.0,0.0,9.2,0.0,0.0,17,28.33,6,5,0/4
186,1,12,12,234,39,260.0,9.0,6.67,28.89,26.0,116,49.57,38,1,3/33
186,2,8,8,144,24,193.0,4.0,8.04,48.25,36.0,67,46.53,18,9,1/24
186,3,7,7,139,24,152.0,9.0,6.33,16.89,15.44,64,46.04,22,0,2/15
186,4,5,5,102,18,152.0,5.0,8.44,30.4,20.4,41,40.2,19,5,2/42
186,5,7,7,144,24,169.0,9.0,7.04,18.78,16.0,61,42.36,14,5,4/18
186,6,13,13,294,49,465.0,16.0,9.49,29.06,18.38,105,35.71,55,15,3/31
186,7,9,9,186,31,270.0,5.0,8.71,54.0,37.2,64,34.41,22,9,1/14
186,8,2,2,30,5,62.0,0.0,12.4,0.0,0.0,4,13.33,5,3,0/23
186,9,9,9,183,31,231.0,11.0,7.45,21.0,16.64,84,45.9,29,3,3/20
186,10,3,3,60,10,119.0,1.0,11.9,119.0,60.0,21,35.0,10,8,1/26
205,2,1,1,18,3,22.0,0.0,7.33,0.0,0.0,2,11.11,1,0,0/22
205,3,4,4,84,14,138.0,5.0,9.86,27.6,16.8,21,25.0,10,8,2/37
205,4,1,1,12,2,23.0,0.0,11.5,0.0,0.0,5,41.67,2,2,0/23
205,5,3,3,60,10,61.0,5.0,6.1,12.2,12.0,18,30.0,4,1,2/25
205,6,1,1,12,2,17.0,1.0,8.5,17.0,12.0,4,33.33,3,0,1/17
602,13,3,3,42,7,96.0,1.0,13.71,96.0,42.0,9,21.43,4,8,1/41
602,14,1,1,6,1,9.0,1.0,9.0,9.0,6.0,1,16.67,1,0,1/9
602,15,1,1,6,1,8.0,0.0,8.0,0.0,0.0,1,16.67,1,0,0/8
602,18,1,1,2,1,6.0,0.0,6.0,0.0,0.0,1,50.0,0,1,0/6
26,1,1,1,12,2,29.0,0.0,14.5,0.0,0.0,5,41.67,3,1,0/29
327,12,2,2,12,2,21.0,1.0,10.5,21.0,12.0,1,8.33,1,1,1/10
327,13,6,6,60,10,91.0,2.0,9.1,45.5,30.0,10,16.67,3,5,1/15
327,14,6,6,60,10,64.0,4.0,6.4,16.0,15.0,23,38.33,5,1,2/4
327,15,3,3,24,4,38.0,0.0,9.5,0.0,0.0,3,12.5,2,2,0/10
327,16,5,5,72,12,124.0,2.0,10.33,62.0,36.0,21,29.17,8,9,1/26
327,17,4,4,42,7,51.0,2.0,7.29,25.5,21.0,12,28.57,6,0,2/24
327,18,6,6,66,11,112.0,0.0,10.18,0.0,0.0,21,31.82,10,7,0/5
622,6,1,1,1,1,0.0,1.0,0.0,0.0,1.0,1,100.0,0,0,1/0
634,4,11,11,231,39,297.0,11.0,7.62,27.0,21.0,96,41.56,29,9,2/23
634,5,4,4,84,14,109.0,3.0,7.79,36.33,28.0,30,35.71,12,2,3/22
204,3,7,7,54,9,76.0,0.0,8.44,0.0,0.0,15,27.78,8,2,0/5
44,1,1,1,24,4,29.0,2.0,7.25,14.5,12.0,8,33.33,3,0,2/29
44,2,5,5,116,20,132.0,6.0,6.6,22.0,19.33,58,50.0,13,5,3/20
44,3,2,2,48,8,65.0,4.0,8.12,16.25,12.0,16,33.33,8,1,2/31
44,5,4,4,96,16,105.0,7.0,6.56,15.0,13.71,35,36.46,8,2,5/25
44,6,1,1,24,4,25.0,0.0,6.25,0.0,0.0,7,29.17,2,0,0/25
546,2,1,1,14,3,31.0,0.0,10.33,0.0,0.0,2,14.29,4,1,0/31
546,3,12,12,225,38,314.0,8.0,8.26,39.25,28.12,58,25.78,28,9,4/19
546,5,9,9,156,26,192.0,7.0,7.38,27.43,22.29,50,32.05,16,5,2/17
546,6,10,10,186,31,240.0,5.0,7.74,48.0,37.2,50,26.88,19,4,3/14
546,8,10,10,180,30,246.0,7.0,8.2,35.14,25.71,61,33.89,29,6,2/15
546,10,2,2,30,5,56.0,0.0,11.2,0.0,0.0,3,10.0,2,4,0/15
226,5,4,4,96,16,161.0,1.0,10.06,161.0,96.0,28,29.17,24,3,1/51
226,6,3,3,42,7,68.0,0.0,9.71,0.0,0.0,10,23.81,5,3,0/13
226,7,2,2,30,5,52.0,1.0,10.4,52.0,30.0,6,20.0,5,2,1/25
226,8,13,13,244,41,324.0,14.0,7.9,23.14,17.43,94,38.52,29,13,3/32
226,9,12,12,219,37,291.0,15.0,7.86,19.4,14.6,90,41.1,28,11,4/20
226,11,15,15,227,38,355.0,13.0,9.34,27.31,17.46,74,32.6,34,15,3/31
226,12,12,12,181,31,287.0,11.0,9.26,26.09,16.45,60,33.15,28,14,2/21
226,13,7,7,108,18,175.0,6.0,9.72,29.17,18.0,36,33.33,17,8,2/29
226,14,8,8,114,19,188.0,11.0,9.89,17.09,10.36,38,33.33,18,8,5/15
226,15,13,13,169,30,278.0,17.0,9.27,16.35,9.94,57,33.73,27,12,4/5
226,16,9,9,91,16,172.0,7.0,10.75,24.57,13.0,31,34.07,18,8,3/22
226,17,14,14,176,31,295.0,19.0,9.52,15.53,9.26,60,34.09,20,20,3/19
226,18,9,9,109,19,217.0,8.0,11.42,27.12,13.62,28,25.69,21,13,2/21
181,9,1,1,24,4,43.0,1.0,10.75,43.0,24.0,7,29.17,4,2,1/43
181,10,4,4,84,14,134.0,3.0,9.57,44.67,28.0,25,29.76,17,3,2/27
181,14,4,4,84,14,131.0,3.0,9.36,43.67,28.0,28,33.33,12,7,2/21
181,15,1,1,15,3,19.0,0.0,6.33,0.0,0.0,9,60.0,2,1,0/19
207,3,3,3,72,12,91.0,3.0,7.58,30.33,24.0,23,31.94,3,5,2/18
207,4,5,5,120,20,117.0,3.0,5.85,39.0,40.0,56,46.67,11,3,2/18
207,5,1,1,12,2,11.0,0.0,5.5,0.0,0.0,5,41.67,1,0,0/11
207,6,3,3,60,10,94.0,3.0,9.4,31.33,20.0,17,28.33,7,6,3/15
599,3,1,1,7,2,5.0,0.0,2.5,0.0,0.0,3,42.86,0,0,0/5
599,4,1,1,12,2,13.0,0.0,6.5,0.0,0.0,5,41.67,1,0,0/13
599,6,3,3,24,4,49.0,1.0,12.25,49.0,24.0,5,20.83,3,4,1/11
673,16,1,1,24,4,40.0,1.0,10.0,40.0,24.0,5,20.83,4,2,1/40
450,10,6,6,126,21,141.0,12.0,6.71,11.75,10.5,44,34.92,11,4,5/17
450,11,14,14,336,56,448.0,24.0,8.0,18.67,14.0,108,32.14,39,13,4/16
450,12,6,6,132,22,233.0,3.0,10.59,77.67,44.0,30,22.73,23,9,1/37
450,13,1,1,24,4,50.0,1.0,12.5,50.0,24.0,5,20.83,4,3,1/50
450,15,3,3,66,11,107.0,2.0,9.73,53.5,33.0,21,31.82,13,4,2/40
143,14,2,2,24,4,23.0,0.0,5.75,0.0,0.0,9,37.5,2,0,0/5
143,15,4,4,36,6,64.0,1.0,10.67,64.0,36.0,8,22.22,2,6,1/8
143,16,6,6,49,9,70.0,1.0,7.78,70.0,49.0,11,22.45,8,1,1/24
143,17,2,2,12,2,15.0,0.0,7.5,0.0,0.0,4,33.33,0,1,0/5
143,18,5,5,66,11,102.0,4.0,9.27,25.5,16.5,15,22.73,3,7,2/30
183,15,5,5,113,19,205.0,5.0,10.79,41.0,22.6,39,34.51,15,14,3/45
183,16,2,2,30,5,59.0,1.0,11.8,59.0,30.0,10,33.33,4,4,1/29
183,17,1,1,21,4,55.0,1.0,13.75,55.0,21.0,6,28.57,2,6,1/55
183,18,6,6,114,19,229.0,3.0,12.05,76.33,38.0,34,29.82,27,9,2/55
514,16,8,8,153,26,219.0,15.0,8.42,14.6,10.2,50,32.68,16,9,5/5
514,17,5,5,109,19,205.0,5.0,10.79,41.0,21.8,33,30.28,23,9,3/20
514,18,4,4,90,15,166.0,4.0,11.07,41.5,22.5,22,24.44,16,7,3/29
37,14,1,1,24,4,39.0,0.0,9.75,0.0,0.0,7,29.17,5,1,0/39
37,16,6,6,114,19,188.0,5.0,9.89,37.6,22.8,46,40.35,19,11,2/40
37,18,3,3,67,12,99.0,4.0,8.25,24.75,16.75,20,29.85,15,1,2/30
468,4,9,9,90,15,121.0,2.0,8.07,60.5,45.0,30,33.33,14,2,2/20
468,5,3,3,20,4,23.0,1.0,5.75,23.0,20.0,10,50.0,1,2,1/3
655,1,5,5,42,7,68.0,1.0,9.71,68.0,42.0,14,33.33,3,6,1/18
655,2,4,4,72,12,84.0,4.0,7.0,21.0,18.0,27,37.5,7,1,3/13
655,4,6,6,61,11,95.0,2.0,8.64,47.5,30.5,15,24.59,8,4,1/22
655,5,1,1,6,1,16.0,0.0,16.0,0.0,0.0,0,0.0,0,2,0/16
655,6,3,3,48,8,59.0,2.0,7.38,29.5,24.0,13,27.08,4,0,1/15
116,2,1,1,6,1,5.0,1.0,5.0,5.0,6.0,2,33.33,0,0,1/5
91,2,5,5,102,17,134.0,4.0,7.88,33.5,25.5,40,39.22,10,6,2/19
91,4,2,2,48,8,66.0,3.0,8.25,22.0,16.0,17,35.42,8,1,2/40
730,15,1,1,6,1,13.0,0.0,13.0,0.0,0.0,1,16.67,1,1,0/13
723,3,1,1,12,2,26.0,0.0,13.0,0.0,0.0,3,25.0,3,0,0/26
723,4,6,6,120,20,169.0,5.0,8.45,33.8,24.0,40,33.33,16,6,2/13
723,5,1,1,12,2,17.0,0.0,8.5,0.0,0.0,5,41.67,1,1,0/17
723,6,2,2,42,7,45.0,3.0,6.43,15.0,14.0,21,50.0,5,1,2/27
723,7,4,4,86,15,113.0,3.0,7.53,37.67,28.67,25,29.07,10,3,1/18
723,8,3,3,72,12,128.0,1.0,10.67,128.0,72.0,26,36.11,8,9,1/28
201,4,2,2,30,5,50.0,3.0,10.0,16.67,10.0,15,50.0,3,4,3/27
201,5,4,4,71,12,109.0,3.0,9.08,36.33,23.67,18,25.35,12,3,1/11
201,6,2,2,48,8,42.0,2.0,5.25,21.0,24.0,24,50.0,2,1,1/20
170,5,9,9,145,25,165.0,4.0,6.6,41.25,36.25,62,42.76,8,9,1/9
170,6,1,1,12,2,17.0,0.0,8.5,0.0,0.0,5,41.67,2,0,0/17
170,7,2,2,48,8,43.0,4.0,5.38,10.75,12.0,22,45.83,1,2,2/20
170,8,4,4,84,14,114.0,3.0,8.14,38.0,28.0,29,34.52,10,3,1/26
170,9,3,3,66,11,84.0,1.0,7.64,84.0,66.0,17,25.76,3,3,1/27
170,10,1,1,6,1,16.0,0.0,16.0,0.0,0.0,1,16.67,2,1,0/16
170,11,1,1,6,1,11.0,0.0,11.0,0.0,0.0,1,16.67,2,0,0/11
616,10,6,6,109,19,144.0,2.0,7.58,72.0,54.5,37,33.94,8,7,1/16
72,2,2,2,30,5,47.0,2.0,9.4,23.5,15.0,16,53.33,4,3,2/35
72,8,14,14,310,52,465.0,15.0,8.94,31.0,20.67,105,33.87,48,18,3/23
72,9,2,2,36,6,43.0,0.0,7.17,0.0,0.0,12,33.33,4,0,0/15
72,10,1,1,12,2,26.0,0.0,13.0,0.0,0.0,2,16.67,5,0,0/26
72,11,3,3,24,4,42.0,1.0,10.5,42.0,24.0,4,16.67,4,1,1/20
108,3,3,3,66,11,112.0,5.0,10.18,22.4,13.2,20,30.3,11,4,2/36
179,7,17,17,396,66,405.0,17.0,6.14,23.82,23.29,157,39.65,34,9,3/24
179,8,14,14,280,47,392.0,13.0,8.34,30.15,21.54,83,29.64,23,21,2/11
179,9,14,14,287,48,388.0,13.0,8.08,29.85,22.08,91,31.71,25,17,4/21
179,10,14,14,288,48,362.0,15.0,7.54,24.13,19.2,82,28.47,17,17,3/11
179,11,8,8,156,26,218.0,3.0,8.38,72.67,52.0,38,24.36,16,8,1/21
179,12,14,14,306,51,364.0,10.0,7.14,36.4,30.6,109,35.62,23,17,2/22
179,13,15,15,306,51,327.0,9.0,6.41,36.33,34.0,98,32.03,20,7,2/18
179,14,12,13,282,47,312.0,15.0,6.64,20.8,18.8,99,35.11,17,13,3/21
179,15,13,13,258,43,321.0,6.0,7.47,53.5,43.0,85,32.95,20,15,2/10
179,16,13,13,282,47,338.0,11.0,7.19,30.73,25.64,102,36.17,21,15,2/13
179,17,14,14,264,44,337.0,11.0,7.66,30.64,24.0,77,29.17,20,15,2/25
179,18,12,12,216,36,313.0,5.0,8.69,62.6,43.2,66,30.56,24,16,2/19
114,16,4,4,59,10,92.0,3.0,9.2,30.67,19.67,23,38.98,9,3,1/9
