team_id,season_id,matches,wins,ties,no_results,losses,win_pct,runs_scored,runs_conceded,wickets_taken,wickets_lost,avg_runs_scored,avg_runs_conceded,chasing_matches,chasing_wins,chasing_win_pct,defending_matches,defending_wins,defending_win_pct,fours,sixes
4,13,14,6,0,0,8,42.86,2191.0,2275.0,75,67,156.5,162.5,10,5,50.0,4,1,25.0,383,148
4,14,16,11,0,0,5,68.75,2733.0,2555.0,103,81,170.81,159.69,6,6,100.0,10,5,50.0,445,219
4,15,14,4,0,0,10,28.57,2288.0,2254.0,82,88,163.43,161.0,4,1,25.0,10,3,30.0,370,189
4,16,16,10,0,1,5,62.5,2712.0,2728.0,112,79,169.5,170.5,6,4,66.67,9,6,66.67,410,241
4,17,14,7,0,0,7,50.0,2524.0,2415.0,79,77,180.29,172.5,6,3,50.0,8,4,50.0,407,210
4,18,14,4,0,0,10,28.57,2441.0,2461.0,83,95,174.36,175.79,8,3,37.5,6,1,16.67,391,236
5,1,14,2,0,0,12,14.29,2229.0,2307.0,67,93,159.21,164.79,6,2,33.33,8,0,0.0,426,173
5,2,16,9,0,0,7,56.25,2408.0,2387.0,110,101,150.5,149.19,8,4,50.0,8,5,62.5,368,178
5,3,16,8,0,0,8,50.0,2374.0,2482.0,102,114,148.38,155.12,9,3,33.33,7,5,71.43,414,169
5,4,14,6,0,0,8,42.86,2140.0,2037.0,84,87,152.86,145.5,5,1,20.0,9,5,55.56,385,114
5,5,15,4,0,0,11,26.67,2312.0,2405.0,83,89,154.13,160.33,4,1,25.0,11,3,27.27,377,173
6,6,17,9,1,0,7,52.94,2318.0,2356.0,111,107,136.35,138.59,8,5,71.43,10,4,44.44,401,128
6,7,14,6,0,0,8,42.86,2102.0,2237.0,76,74,150.14,159.79,4,3,75.0,10,3,30.0,352,173
6,8,14,7,0,0,7,50.0,2210.0,2126.0,79,81,157.86,151.86,5,1,20.0,9,6,66.67,369,162
6,9,17,11,0,0,6,64.71,2673.0,2580.0,98,97,157.24,151.76,8,6,75.0,9,5,55.56,453,170
6,10,14,8,0,0,6,57.14,2349.0,2166.0,96,62,167.79,154.71,5,3,60.0,9,5,55.56,404,151
6,11,17,10,0,0,7,58.82,2721.0,2674.0,105,99,160.06,157.29,8,5,62.5,9,5,55.56,469,198
6,12,15,6,1,0,8,40.0,2458.0,2374.0,89,84,163.87,158.27,7,4,66.67,9,2,25.0,391,181
6,13,16,8,1,0,7,50.0,2531.0,2448.0,99,87,158.19,153.0,10,4,44.44,7,4,66.67,404,162
6,14,14,3,1,0,10,21.43,2084.0,2224.0,76,92,148.86,158.86,9,2,25.0,6,1,20.0,366,136
6,15,14,6,0,0,8,42.86,2197.0,2416.0,86,80,156.93,172.57,11,5,45.45,3,1,33.33,369,209
6,16,14,4,0,0,10,28.57,2376.0,2486.0,76,90,169.71,177.57,7,2,28.57,7,2,28.57,462,177
6,17,16,9,0,0,7,56.25,3052.0,3016.0,83,105,190.75,188.5,6,3,50.0,10,6,60.0,482,324
6,18,14,6,0,1,7,42.86,2519.0,2584.0,88,83,179.93,184.57,5,3,60.0,8,3,37.5,445,250
7,15,15,9,0,0,6,60.0,2548.0,2496.0,100,89,169.87,166.4,7,2,28.57,8,7,87.5,421,209
7,16,15,8,0,1,6,53.33,2479.0,2398.0,93,103,165.27,159.87,8,3,37.5,7,5,83.33,374,216
7,17,14,7,0,0,7,50.0,2483.0,2521.0,71,84,177.36,180.07,6,3,50.0,8,4,50.0,422,225
7,18,14,6,0,0,8,42.86,2732.0,2779.0,80,82,195.14,198.5,4,2,50.0,10,4,40.0,475,282
8,1,14,7,0,0,7,50.0,2118.0,2223.0,96,77,151.29,158.79,8,5,62.5,6,2,33.33,423,140
8,2,15,10,0,0,5,66.67,2131.0,2158.0,106,75,142.07,143.87,8,7,87.5,7,3,42.86,360,120
8,3,14,7,0,0,7,50.0,2155.0,2166.0,96,88,153.93,154.71,8,3,37.5,6,4,66.67,377,133
8,4,14,4,0,1,9,28.57,2087.0,2076.0,67,95,149.07,148.29,7,2,28.57,7,2,33.33,389,145
8,5,18,11,0,0,7,61.11,2645.0,2745.0,101,94,146.94,152.5,14,9,64.29,4,2,50.0,505,178
8,6,16,3,1,0,12,18.75,2245.0,2451.0,76,112,140.31,153.19,10,2,22.22,7,1,16.67,447,123
8,7,14,2,0,0,12,14.29,2081.0,2184.0,60,86,148.64,156.0,7,2,28.57,7,0,0.0,355,149
8,8,14,5,0,1,8,35.71,2168.0,1978.0,74,76,154.86,141.29,7,3,42.86,7,2,33.33,349,155
8,9,14,7,0,0,7,50.0,2104.0,2107.0,77,77,150.29,150.5,8,5,62.5,6,2,33.33,371,124
8,10,14,6,0,0,8,42.86,2219.0,2255.0,79,97,158.5,161.07,8,3,37.5,6,3,50.0,397,169
8,11,14,5,0,0,9,35.71,2343.0,2387.0,80,75,167.36,170.5,5,1,20.0,9,4,44.44,366,235
9,1,13,6,0,0,7,46.15,1942.0,1718.0,70,88,149.38,132.15,4,2,50.0,9,4,44.44,338,124
9,2,13,3,1,0,9,23.08,1772.0,1975.0,59,73,136.31,151.92,6,3,60.0,8,0,0.0,307,119
9,3,14,7,0,0,7,50.0,2144.0,2192.0,73,71,153.14,156.57,6,3,50.0,8,4,50.0,417,116
9,4,15,8,0,0,7,53.33,2023.0,2072.0,88,71,134.87,138.13,8,5,62.5,7,3,42.86,377,95
9,5,17,12,0,0,5,70.59,2504.0,2366.0,107,94,147.29,139.18,9,6,66.67,8,6,75.0,390,139
9,6,16,6,0,0,10,37.5,2290.0,2316.0,97,102,143.12,144.75,9,4,44.44,7,2,28.57,415,130
9,7,16,11,1,0,4,68.75,2499.0,2455.0,95,89,156.19,153.44,11,7,70.0,6,4,80.0,432,154
9,8,13,7,0,0,6,53.85,2044.0,2081.0,79,78,157.23,160.08,9,5,55.56,4,2,50.0,381,154
9,9,15,8,0,0,7,53.33,2263.0,2321.0,94,76,150.87,154.73,8,6,75.0,7,2,28.57,386,155
9,10,16,9,0,0,7,56.25,2484.0,2539.0,96,88,155.25,158.69,10,7,70.0,6,2,33.33,469,175
9,11,16,9,0,0,7,56.25,2759.0,2743.0,97,104,172.44,171.44,10,6,60.0,6,3,50.0,479,265
9,12,14,6,1,0,7,42.86,2473.0,2429.0,57,79,176.64,173.5,6,4,80.0,9,2,25.0,420,239
9,13,14,6,1,0,7,42.86,2222.0,2208.0,70,96,158.71,157.71,5,1,25.0,10,5,55.56,386,162
9,14,17,9,0,0,8,52.94,2559.0,2545.0,109,105,150.53,149.71,11,7,63.64,6,2,33.33,423,190
9,15,14,6,0,0,8,42.86,2223.0,2249.0,84,104,158.79,160.64,9,4,44.44,5,2,40.0,348,217
9,16,14,6,0,0,8,42.86,2463.0,2470.0,79,97,175.93,176.43,7,3,42.86,7,3,42.86,413,238
