player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
201,1,Middle Over,6,6,90.0,80,15.0,112.5,30.0,6,3,4,32.5,11.25
201,1,Powerplay Over,4,4,7.0,15,1.75,46.67,6.0,1,0,1,66.67,6.67
203,1,Death Over,1,1,16.0,9,16.0,177.78,16.0,1,1,1,11.11,22.22
203,1,Middle Over,2,2,0.0,2,0.0,0.0,0.0,0,0,1,100.0,0.0
205,1,Death Over,1,1,3.0,6,3.0,50.0,3.0,0,0,1,33.33,0.0
205,1,Middle Over,4,4,74.0,55,18.5,134.55,34.0,8,1,2,20.0,16.36
205,1,Powerplay Over,6,6,78.0,73,13.0,106.85,37.0,14,0,2,49.32,19.18
206,1,Death Over,1,1,0.0,2,0.0,0.0,0.0,0,0,1,100.0,0.0
206,1,Middle Over,1,1,2.0,6,2.0,33.33,2.0,0,0,0,50.0,0.0
217,1,Powerplay Over,1,1,3.0,7,3.0,42.86,3.0,0,0,1,57.14,0.0
219,1,Death Over,7,7,125.0,68,17.86,183.82,42.0,4,10,5,22.06,20.59
219,1,Middle Over,11,11,174.0,167,15.82,104.19,39.0,13,6,5,35.93,11.38
219,1,Powerplay Over,7,7,20.0,32,2.86,62.5,11.0,2,1,1,62.5,9.38
221,1,Middle Over,2,2,35.0,33,17.5,106.06,30.0,2,2,2,33.33,12.12
221,1,Powerplay Over,3,3,4.0,21,1.33,19.05,3.0,0,0,1,71.43,0.0
227,1,Death Over,1,1,6.0,2,6.0,300.0,6.0,0,1,1,50.0,50.0
227,1,Middle Over,1,1,3.0,6,3.0,50.0,3.0,0,0,0,50.0,0.0
238,1,Death Over,3,3,13.0,16,4.33,81.25,10.0,1,0,3,31.25,6.25
238,1,Middle Over,1,1,17.0,12,17.0,141.67,17.0,2,0,0,25.0,16.67
243,1,Death Over,2,2,2.0,5,1.0,40.0,1.0,0,0,2,60.0,0.0
246,1,Death Over,4,4,47.0,34,11.75,138.24,22.0,4,1,1,23.53,14.71
246,1,Middle Over,12,12,281.0,199,23.42,141.21,50.0,17,15,7,23.12,16.08
246,1,Powerplay Over,9,9,93.0,71,10.33,130.99,35.0,14,2,1,42.25,22.54
247,1,Middle Over,8,8,103.0,103,12.88,100.0,36.0,13,0,7,32.04,12.62
247,1,Powerplay Over,9,9,208.0,138,23.11,150.72,38.0,30,6,2,34.78,26.09
251,1,Death Over,3,3,25.0,17,8.33,147.06,18.0,4,0,1,35.29,23.53
251,1,Middle Over,1,1,8.0,7,8.0,114.29,8.0,1,0,0,28.57,14.29
254,1,Death Over,2,2,2.0,5,1.0,40.0,2.0,0,0,2,60.0,0.0
260,1,Death Over,3,3,22.0,13,7.33,169.23,12.0,4,0,2,23.08,30.77
260,1,Middle Over,6,6,90.0,81,15.0,111.11,30.0,6,4,6,29.63,12.35
260,1,Powerplay Over,6,6,53.0,74,8.83,71.62,21.0,8,0,4,54.05,10.81
274,1,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,0,100.0,0.0
276,1,Death Over,1,1,2.0,5,2.0,40.0,2.0,0,0,1,60.0,0.0
280,1,Death Over,2,2,12.0,8,6.0,150.0,9.0,1,0,2,25.0,12.5
280,1,Middle Over,2,2,19.0,18,9.5,105.56,15.0,2,0,1,38.89,11.11
284,1,Death Over,2,2,8.0,7,4.0,114.29,6.0,1,0,2,28.57,14.29
