player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
212,1,Powerplay Over,12,12,174,29.0,166.0,6,5.72,27.67,27.0,94,54.02,22,4
222,1,Death Over,5,5,53,8.0,86.0,4,10.75,21.5,11.25,10,18.87,6,4
222,1,Middle Over,6,6,58,9.0,60.0,4,6.67,15.0,13.5,21,36.21,6,1
222,1,Powerplay Over,5,5,42,7.0,38.0,4,5.43,9.5,9.0,20,47.62,5,0
223,1,Death Over,11,11,95,15.0,139.0,11,9.27,12.64,8.18,19,20.0,10,4
223,1,Middle Over,10,10,138,23.0,142.0,4,6.17,35.5,31.5,51,36.96,13,2
223,1,Powerplay Over,6,6,77,12.0,118.0,2,9.83,59.0,36.0,30,38.96,15,5
230,1,Middle Over,2,2,20,3.0,30.0,1,10.0,30.0,20.0,4,20.0,1,2
234,1,Death Over,3,3,18,3.0,19.0,4,6.33,4.75,4.5,8,44.44,0,2
234,1,Middle Over,5,5,93,15.0,98.0,6,6.53,16.33,14.83,32,34.41,4,4
234,1,Powerplay Over,1,1,12,2.0,21.0,1,10.5,21.0,12.0,2,16.67,0,2
238,1,Death Over,1,1,12,2.0,23.0,1,11.5,23.0,12.0,1,8.33,2,1
238,1,Middle Over,2,2,18,3.0,28.0,1,9.33,28.0,18.0,4,22.22,2,1
241,1,Middle Over,1,1,13,2.0,9.0,2,4.5,4.5,6.0,5,38.46,0,0
241,1,Powerplay Over,1,1,12,2.0,20.0,0,10.0,0.0,inf,3,25.0,3,0
246,1,Death Over,6,6,48,8.0,83.0,2,10.38,41.5,24.0,15,31.25,2,9
246,1,Middle Over,7,7,74,12.0,71.0,0,5.92,0.0,inf,28,37.84,6,0
246,1,Powerplay Over,6,6,45,7.0,45.0,1,6.43,45.0,42.0,18,40.0,2,2
251,1,Death Over,4,4,30,5.0,47.0,3,9.4,15.67,10.0,13,43.33,5,3
251,1,Middle Over,15,15,249,41.0,328.0,13,8.0,25.23,18.85,94,37.75,21,18
251,1,Powerplay Over,1,1,7,1.0,14.0,1,14.0,14.0,6.0,3,42.86,2,0
254,1,Middle Over,5,5,57,9.0,68.0,3,7.56,22.67,18.0,19,33.33,5,3
254,1,Powerplay Over,3,3,20,3.0,23.0,0,7.67,0.0,inf,11,55.0,3,1
259,1,Death Over,8,8,60,10.0,83.0,5,8.3,16.6,10.2,18,30.0,9,2
259,1,Middle Over,9,9,89,14.0,85.0,4,6.07,21.25,21.0,37,41.57,8,1
259,1,Powerplay Over,7,7,44,7.0,68.0,2,9.71,34.0,21.0,22,50.0,10,3
273,1,Death Over,11,11,79,13.0,118.0,3,9.08,39.33,26.0,17,21.52,11,4
273,1,Middle Over,3,3,24,4.0,28.0,1,7.0,28.0,24.0,9,37.5,4,0
273,1,Powerplay Over,14,14,226,37.0,211.0,8,5.7,26.38,27.75,127,56.19,26,6
286,1,Death Over,4,4,24,4.0,56.0,1,14.0,56.0,24.0,2,8.33,8,2
286,1,Middle Over,9,9,111,18.0,151.0,2,8.39,75.5,54.0,42,37.84,15,5
286,1,Powerplay Over,3,3,18,3.0,12.0,1,4.0,12.0,18.0,11,61.11,1,0
289,1,Death Over,1,1,7,1.0,13.0,1,13.0,13.0,7.0,3,42.86,3,0
289,1,Middle Over,4,4,48,8.0,69.0,0,8.62,0.0,inf,15,31.25,3,5
290,1,Death Over,1,1,6,1.0,15.0,0,15.0,0.0,inf,0,0.0,3,0
290,1,Middle Over,2,2,11,1.0,34.0,0,34.0,0.0,inf,0,0.0,2,3
291,1,Middle Over,4,4,44,7.0,40.0,3,5.71,13.33,14.0,19,43.18,5,0
293,1,Death Over,2,2,19,3.0,26.0,4,8.67,6.5,4.5,8,42.11,4,0
293,1,Middle Over,3,3,43,7.0,56.0,1,8.0,56.0,42.0,8,18.6,2,3
294,1,Death Over,5,5,37,6.0,68.0,1,11.33,68.0,34.0,8,21.62,6,4
294,1,Middle Over,7,7,121,20.0,171.0,7,8.55,24.43,16.29,35,28.93,13,7
317,1,Middle Over,5,5,43,7.0,68.0,1,9.71,68.0,42.0,14,32.56,3,6
326,1,Death Over,2,2,10,1.0,18.0,1,18.0,18.0,10.0,3,30.0,2,1
326,1,Middle Over,5,5,79,13.0,109.0,2,8.38,54.5,39.0,28,35.44,10,6
330,1,Middle Over,1,1,7,1.0,24.0,0,24.0,0.0,inf,0,0.0,2,2
340,1,Death Over,2,2,14,2.0,33.0,0,16.5,0.0,inf,1,7.14,2,2
340,1,Middle Over,5,5,43,7.0,68.0,0,9.71,0.0,inf,8,18.6,7,2
340,1,Powerplay Over,3,3,19,3.0,28.0,0,9.33,0.0,inf,9,47.37,3,1
353,1,Death Over,2,2,18,3.0,19.0,1,6.33,19.0,18.0,5,27.78,2,0
353,1,Middle Over,2,2,30,5.0,35.0,1,7.0,35.0,30.0,11,36.67,2,2
381,1,Middle Over,1,1,18,3.0,22.0,0,7.33,0.0,inf,6,33.33,3,0
383,1,Death Over,10,10,81,13.0,130.0,0,10.0,0.0,inf,22,27.16,13,3
383,1,Middle Over,3,3,19,3.0,12.0,0,4.0,0.0,inf,6,31.58,0,0
383,1,Powerplay Over,13,13,166,27.0,187.0,7,6.93,26.71,22.71,82,49.4,31,2
388,1,Death Over,1,1,12,2.0,11.0,1,5.5,11.0,12.0,5,41.67,1,0
388,1,Middle Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,0,0.0,0,0
388,1,Powerplay Over,1,1,7,1.0,22.0,0,22.0,0.0,inf,1,14.29,1,2
403,1,Death Over,1,1,5,0.0,19.0,0,inf,0.0,inf,0,0.0,1,2
403,1,Middle Over,3,3,39,6.0,82.0,0,13.67,0.0,inf,9,23.08,5,7
410,1,Death Over,5,5,57,9.0,93.0,3,10.33,31.0,18.0,17,29.82,8,5
410,1,Middle Over,5,5,44,7.0,48.0,2,6.86,24.0,21.0,19,43.18,5,1
410,1,Powerplay Over,4,4,27,4.0,19.0,5,4.75,3.8,4.8,13,48.15,2,0
425,1,Death Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,2,33.33,1,0
425,1,Middle Over,1,1,6,1.0,4.0,1,4.0,4.0,6.0,2,33.33,0,0
425,1,Powerplay Over,1,1,12,2.0,13.0,0,6.5,0.0,inf,5,41.67,2,0
435,1,Death Over,1,1,6,1.0,8.0,0,8.0,0.0,inf,4,66.67,0,1
435,1,Middle Over,1,1,6,1.0,11.0,0,11.0,0.0,inf,1,16.67,2,0
435,1,Powerplay Over,1,1,6,1.0,12.0,1,12.0,12.0,6.0,2,33.33,1,1
449,1,Death Over,7,7,52,8.0,84.0,5,10.5,16.8,10.0,15,28.85,7,5
449,1,Middle Over,8,8,91,15.0,119.0,3,7.93,39.67,28.33,29,31.87,9,5
449,1,Powerplay Over,5,5,38,6.0,29.0,3,4.83,9.67,12.0,22,57.89,4,0
463,1,Death Over,4,4,24,4.0,39.0,0,9.75,0.0,inf,7,29.17,5,1
