team_id,season_id,matches,wins,ties,no_results,losses,win_pct,runs_scored,runs_conceded,wickets_taken,wickets_lost,avg_runs_scored,avg_runs_conceded,chasing_matches,chasing_wins,chasing_win_pct,defending_matches,defending_wins,defending_win_pct,fours,sixes
4,18,14,6,0,0,8,42.86,2732.0,2779.0,80,82,195.14,198.5,4,2,50.0,10,4,40.0,475,282
5,4,14,4,0,1,9,28.57,1775.0,1914.0,76,83,126.79,136.71,7,4,57.14,6,0,0.0,306,118
5,5,16,4,0,0,12,25.0,2321.0,2424.0,79,104,145.06,151.5,9,1,11.11,7,3,42.86,378,143
5,6,16,4,0,0,12,25.0,2262.0,2519.0,83,111,141.38,157.44,9,1,11.11,7,3,42.86,421,153
6,12,16,9,1,0,6,56.25,2529.0,2558.0,111,108,158.06,159.88,10,6,66.67,7,3,50.0,465,179
6,13,17,8,1,0,8,47.06,2780.0,2802.0,104,105,163.53,164.82,7,2,33.33,11,6,60.0,472,195
6,14,16,9,1,0,6,56.25,2495.0,2452.0,102,78,155.94,153.25,10,8,88.89,7,1,16.67,413,161
6,15,14,7,0,0,7,50.0,2341.0,2397.0,88,81,167.21,171.21,9,4,44.44,5,3,60.0,411,209
6,16,14,5,0,0,9,35.71,2182.0,2424.0,82,104,155.86,173.14,9,2,22.22,5,3,60.0,400,181
6,17,14,7,0,0,7,50.0,2573.0,2762.0,99,94,183.79,197.29,7,2,28.57,7,5,71.43,461,279
6,18,15,6,1,2,6,40.0,2500.0,2542.0,78,88,166.67,169.47,9,5,62.5,6,1,25.0,429,232
7,1,16,9,0,0,7,56.25,2520.0,2568.0,93,79,157.5,160.5,7,5,71.43,9,4,44.44,477,174
7,2,14,8,0,0,6,57.14,2231.0,2004.0,91,81,159.36,143.14,4,2,50.0,10,6,60.0,362,140
7,3,16,9,1,0,6,56.25,2604.0,2517.0,103,89,162.75,157.31,8,4,57.14,9,5,62.5,437,183
7,4,16,11,0,0,5,68.75,2560.0,2300.0,91,74,160.0,143.75,4,3,75.0,12,8,66.67,400,157
7,5,18,10,0,0,8,55.56,2831.0,2621.0,108,101,157.28,145.61,6,5,83.33,12,5,41.67,448,184
7,6,18,12,0,0,6,66.67,2778.0,2602.0,123,90,154.33,144.56,10,5,50.0,8,7,87.5,465,174
7,7,16,10,0,0,6,62.5,2650.0,2577.0,98,70,165.62,161.06,9,7,77.78,7,3,42.86,421,218
7,8,17,10,0,0,7,58.82,2725.0,2601.0,113,104,160.29,153.0,6,3,50.0,11,7,63.64,461,194
7,11,16,11,0,0,5,68.75,2809.0,2750.0,99,77,175.56,171.88,10,8,80.0,6,3,50.0,427,276
