player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
111,1,16,1,1,6,1.0,18.0,0,18.0,0.0,inf,0,0.0,0,2
111,1,17,1,1,13,2.0,14.0,0,7.0,0.0,inf,3,23.08,1,0
118,1,2,2,2,37,6.0,62.0,3,10.33,20.67,12.0,11,29.73,7,2
118,1,5,2,2,50,8.0,96.0,1,12.0,96.0,48.0,14,28.0,11,5
118,1,6,2,2,38,6.0,49.0,1,8.17,49.0,36.0,15,39.47,4,2
118,1,9,2,2,50,8.0,59.0,3,7.38,19.67,16.0,17,34.0,7,0
118,1,11,1,1,24,4.0,32.0,0,8.0,0.0,inf,7,29.17,4,0
118,1,16,2,2,48,8.0,74.0,1,9.25,74.0,48.0,10,20.83,9,1
118,1,17,2,2,49,8.0,48.0,2,6.0,24.0,24.0,20,40.82,4,1
129,1,2,2,2,43,7.0,79.0,1,11.29,79.0,42.0,12,27.91,13,1
129,1,5,1,1,24,4.0,17.0,2,4.25,8.5,12.0,13,54.17,2,0
129,1,6,1,1,24,4.0,38.0,3,9.5,12.67,8.0,11,45.83,7,1
129,1,9,2,2,43,7.0,65.0,2,9.29,32.5,21.0,15,34.88,6,2
129,1,11,2,2,49,8.0,70.0,1,8.75,70.0,48.0,18,36.73,11,1
129,1,13,2,2,51,8.0,64.0,2,8.0,32.0,24.0,22,43.14,8,2
129,1,16,1,1,24,4.0,24.0,2,6.0,12.0,12.0,9,37.5,3,0
134,1,2,1,1,25,4.0,29.0,1,7.25,29.0,24.0,10,40.0,5,0
134,1,5,1,1,24,4.0,12.0,1,3.0,12.0,24.0,15,62.5,1,0
134,1,6,2,2,32,5.0,35.0,0,7.0,0.0,inf,16,50.0,5,0
134,1,11,2,2,50,8.0,62.0,0,7.75,0.0,inf,20,40.0,10,0
134,1,13,2,2,31,5.0,42.0,1,8.4,42.0,30.0,15,48.39,7,1
134,1,16,2,2,44,7.0,51.0,4,7.29,12.75,10.5,21,47.73,7,0
134,1,17,2,2,39,6.0,29.0,2,4.83,14.5,18.0,19,48.72,3,0
147,1,2,1,1,20,3.0,21.0,0,7.0,0.0,inf,6,30.0,0,1
147,1,5,2,2,37,6.0,36.0,2,6.0,18.0,18.0,12,32.43,4,0
147,1,6,2,2,30,5.0,38.0,0,7.6,0.0,inf,11,36.67,1,3
147,1,16,1,1,18,3.0,39.0,0,13.0,0.0,inf,5,27.78,5,2
150,1,2,1,1,12,2.0,13.0,0,6.5,0.0,inf,3,25.0,1,0
