player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
359,3,Death Over,12,12,94,15.0,161.0,5,10.73,32.2,18.2,28,29.79,10,10
359,3,Middle Over,9,9,105,17.0,138.0,8,8.12,17.25,12.75,33,31.43,12,5
359,3,Powerplay Over,9,9,85,14.0,97.0,3,6.93,32.33,28.0,40,47.06,14,1
365,3,Death Over,1,1,1,0.0,4.0,0,inf,0.0,inf,0,0.0,1,0
365,3,Middle Over,3,3,26,4.0,36.0,1,9.0,36.0,24.0,8,30.77,6,0
365,3,Powerplay Over,3,3,19,3.0,22.0,0,7.33,0.0,inf,8,42.11,3,0
379,3,Middle Over,1,1,12,2.0,18.0,1,9.0,18.0,12.0,5,41.67,2,1
379,3,Powerplay Over,1,1,6,1.0,10.0,0,10.0,0.0,inf,2,33.33,2,0
385,3,Death Over,3,3,28,4.0,42.0,1,10.5,42.0,24.0,7,25.0,3,2
385,3,Middle Over,6,6,54,9.0,83.0,1,9.22,83.0,48.0,10,18.52,6,4
385,3,Powerplay Over,8,8,96,16.0,130.0,4,8.12,32.5,22.5,37,38.54,20,1
387,3,Middle Over,1,1,7,1.0,11.0,0,11.0,0.0,inf,0,0.0,1,0
387,3,Powerplay Over,3,3,44,7.0,81.0,1,11.57,81.0,42.0,17,38.64,14,2
390,3,Death Over,1,1,12,2.0,23.0,0,11.5,0.0,inf,4,33.33,1,2
390,3,Middle Over,1,1,12,2.0,12.0,1,6.0,12.0,12.0,6,50.0,2,0
401,3,Death Over,4,4,19,3.0,32.0,0,10.67,0.0,inf,1,5.26,2,1
401,3,Middle Over,9,9,97,16.0,137.0,4,8.56,34.25,24.0,31,31.96,12,6
401,3,Powerplay Over,7,7,46,7.0,59.0,0,8.43,0.0,inf,16,34.78,5,2
405,3,Death Over,4,4,35,5.0,72.0,0,14.4,0.0,inf,1,2.86,5,3
405,3,Middle Over,2,2,13,2.0,18.0,0,9.0,0.0,inf,3,23.08,1,0
405,3,Powerplay Over,4,4,43,7.0,59.0,0,8.43,0.0,inf,16,37.21,9,0
413,3,Death Over,1,1,6,1.0,3.0,0,3.0,0.0,inf,4,66.67,0,0
413,3,Middle Over,6,6,68,11.0,85.0,1,7.73,85.0,66.0,19,27.94,4,3
413,3,Powerplay Over,5,5,70,11.0,72.0,2,6.55,36.0,33.0,39,55.71,10,1
419,3,Death Over,2,2,19,3.0,22.0,1,7.33,22.0,19.0,7,36.84,0,2
419,3,Middle Over,4,4,30,5.0,48.0,2,9.6,24.0,15.0,11,36.67,1,5
