player_id,player_name
292,KS BHARAT
293,MUKESH KUMAR
294,R RAVINDRA
295,SB JAKATI
296,V SURYAVANSHI
297,KH DEVDHAR
298,T HENDERSON
299,AT CAREY
300,BJ ROHRER
301,VIRAT SINGH
302,WA MOTA
303,AM SALVI
304,O THOMAS
305,ML HAYDEN
306,LA CARSELDINE
307,UBT CHAND
308,MP STOINIS
309,RAMANDEEP SINGH
310,JJ BUMRAH
311,SACHIN BABY
312,D WIESE
313,AM NAYAR
314,MOHAMMAD ASHRAFUL
315,HARMEET SINGH
316,RT PONTING
317,JEC FRANKLIN
318,HARPREET BRAR
319,AA BILAKHIA
320,A MITHUN
321,SZ MULANI
322,PP OJHA
323,KARANVEER SINGH
324,SA YADAV
325,ABDUR RAZZAK
326,R BHATIA
327,AU RASHID
328,ARSHAD KHAN (2)
329,SR WATSON
330,C GANAPATHY
331,SB BANGAR
332,TD PAINE
333,GR NAPIER
334,ABHISHEK SHARMA
335,MJ GUPTILL
336,KUMAR KUSHAGRA
337,AD RUSSELL
338,RS HANGARGEKAR
339,LB WILLIAMS
340,G GAMBHIR
341,RA SHAIKH
342,KV SHARMA
343,KMDN KULASEKARA
344,SB DUBEY
345,TA BOULT
346,R DRAVID
347,B APARAJITH
348,DJ JACOBS
349,NL MCCULLUM
350,SH JOHNSON
351,SK WARNE
352,HF GURNEY
353,T NATARAJAN
354,URVIL PATEL
355,AZMATULLAH OMARZAI
356,SONU YADAV
357,YUVRAJ SINGH
358,AA JHUNJHUNWALA
359,R VINAY KUMAR
360,SR TENDULKAR
361,ARJUN TENDULKAR
362,NB SINGH
363,AKASH MADHWAL
364,CR BRATHWAITE
365,VS MALIK
366,LH FERGUSON
367,MUJEEB UR RAHMAN
368,B INDRAJITH
369,DS LEHMANN
370,ANIRUDH SINGH
371,NT ELLIS
372,BASIL THAMPI
373,KR SEN
374,PH SOLANKI
375,LA POMERSBACH
376,DAJ BRACEWELL
377,M VIJAY
378,GHS GARTON
379,Y NAGAR
380,R TEWATIA
381,K YADAV
382,CR WOAKES
383,G COETZEE
384,VH ZOL
385,SJ SRIVASTAVA
386,RM PATIDAR
387,MS GONY
388,RR ROSSOUW
389,N WADHERA
390,MC HENRIQUES
391,TM SRIVASTAVA
392,PRIYANSH ARYA
393,MJ CLARKE
394,N BURGER
395,BCJ CUTTING
396,VR AARON
397,DA MILLER
398,TANUSH KOTIAN
399,DPMD JAYAWARDENE
400,VG ARORA
401,DJ BRAVO
402,ANKIT SHARMA
403,S LAMICHHANE
404,J ARUNKUMAR
405,B LEE
406,M NTINI
407,SB JOSHI
408,YBK JAISWAL
409,S KAUSHIK
410,AS RAJPOOT
411,MJ SUTHAR
412,W O'ROURKE
413,RR POWAR
414,MS DHONI
415,S DUBE
416,HARSH DUBEY
417,NAMAN DHIR
418,M SHAHRUKH KHAN
419,TM DILSHAN
420,R MINZ
421,TP SUDHINDRA
422,K GOEL
423,CA INGRAM
424,ISHAN KISHAN
425,L ABLISH
426,AS ROY
427,JP INGLIS
428,S LADDA
429,DT PATIL
430,SIKANDAR RAZA
431,C BOSCH
432,SSB MAGALA
433,L RONCHI
434,MG JOHNSON
435,ANKIT SONI
436,SAMEER RIZVI
